section,account_code,account_name,amount
Revenue,41000,Charter Revenue,656279.41
Expense,1015,Petty Cash,56477.38
Expense,1099,BANKING,3130.56
Expense,1099,Intercompany Receivable,500.00
Expense,1100,BANKING,91.86
Expense,1135,BANKING,700.00
Expense,1200,Fixed Assets,1.00
Expense,1203,BANKING,165.00
Expense,1220,BANKING,537.30
Expense,1220,Vehicle Equipment,138.50
Expense,1230,BANKING,288.75
Expense,2330,BANKING,3494.63
Expense,2550,Administrative Expenses,408.07
Expense,2550,Advertising,1908.51
Expense,2550,BANKING,14248.68
Expense,2550,"Client Amenities - Food, Coffee, Supplies",607.48
Expense,2550,Client Entertainment - Meals,48.79
Expense,2550,Fuel,1507.20
Expense,2550,Miscellaneous Business Expense,19.10
Expense,2550,Office Supplies,64.05
Expense,2550,Parking and Tolls,5.00
Expense,2550,Related Party - Repayments Out,5500.00
Expense,2550,Supplies - General Business,445.08
Expense,2550,Telephone & Internet,159.00
Expense,2550,Vehicle Lease Payments,2251.73
Expense,2550,Vehicle Maintenance & Repairs,4454.59
Expense,2550,Vehicle Operating Leases,67.56
Expense,2550,WCB Premiums,3999.19
Expense,2910,BANKING,202956.77
Expense,2910,"Client Amenities - Food, Coffee, Supplies",37.16
Expense,3020,BANKING,94.06
Expense,3200,BANKING,36.00
Expense,5100,Vehicle Expenses,38.07
Expense,5110,BANKING,28039.13
Expense,5110,Fuel,25512.57
Expense,5110,Supplies - General Business,246.94
Expense,5116,BANKING,23792.06
Expense,5116,"Client Amenities - Food, Coffee, Supplies",18284.96
Expense,5116,Client Hospitality - Charter Supplies,1096.88
Expense,5120,BANKING,6167.42
Expense,5120,Vehicle Maintenance & Repairs,40735.04
Expense,5130,BANKING,4370.33
Expense,5130,Insurance,139310.44
Expense,5130,Uncategorized / Unknown,2257.98
Expense,5150,BANKING,20238.25
Expense,5150,Vehicle Lease Payments,110315.77
Expense,5150,Vehicle Operating Leases,50948.04
Expense,5180,BANKING,1105.15
Expense,5180,Vehicle Registration,1263.35
Expense,5210,BANKING,6817.43
Expense,5210,Driver Salaries,2341.11
Expense,5210,Driver Wages & Reimbursements,2400.00
Expense,5250,WCB Premiums,3433.64
Expense,5260,Driver Salaries,1500.00
Expense,5300,Administrative Expenses,5113.07
Expense,5300,BANKING,17.87
Expense,5300,Insurance,4881.91
Expense,5320,BANKING,2136.24
Expense,5320,Driver Food/Drinks/Snacks on Duty,70.33
Expense,5320,Driver Meals - On Duty,44.95
Expense,5320,Staff Meals & Entertainment,45.74
Expense,5360,BANKING,1396.30
Expense,5420,BANKING,2283.50
Expense,5420,Office Supplies,5066.48
Expense,5425,BANKING,216.32
Expense,5425,Building & Property Maintenance,385.26
Expense,5430,BANKING,904.54
Expense,5430,Telephone & Internet,21170.32
Expense,5440,BANKING,2100.00
Expense,5440,Rent & Utilities,13057.27
Expense,5500,Professional Services,1170.75
Expense,5510,BANKING,66.52
Expense,5520,BANKING,197.83
Expense,5540,BANKING,210.26
Expense,5540,Subscriptions & Memberships,460.00
Expense,5600,Advertising,3748.07
Expense,5600,BANKING,277.49
Expense,5600,Marketing & Advertising,791.92
Expense,5650,BANKING,200.00
Expense,5710,BANKING,339.72
Expense,5710,Bank Fees & Service Charges,58280.20
Expense,5710,Bank Service Charges,35.00
Expense,5710,Unassigned,9.00
Expense,5715,BANKING,1675.00
Expense,5715,NSF Fees,1931.50
Expense,5720,BANKING,6569.91
Expense,5720,Charter Revenue,4626.82
Expense,5720,Credit Card Processing Fees,979.09
Expense,5720,Payment Processing Fees,83.53
Expense,5720,Square Processing Fees,30.19
Expense,5740,BANKING,71.61
Expense,5840,BANKING,348.00
Expense,5860,BANKING,106.63
Expense,5860,Supplies - General Business,2057.83
Expense,5870,BANKING,1199.90
Expense,5870,Miscellaneous Business Expense,321.78
Expense,5880,BANKING,90.88
Expense,5880,Client Entertainment - Meals,67.26
Expense,5880,Owner Personal (Non-Deductible),4889.47
Expense,5900,BANKING,362.17
Expense,6000,BANKING,414.85
Expense,6000,Operating Expenses,6500.00
Expense,6100,BANKING,2232.84
Expense,6100,Business Meals & Entertainment,179.75
Expense,6100,Staff Meals & Entertainment,135.53
Expense,6105,BANKING,308.61
Expense,6105,Client Entertainment - Meals,209.83
Expense,6300,BANKING,4799.99
Expense,6300,Government Fees & Licenses,12265.53
Expense,6400,BANKING,1897.52
Expense,6400,Electronics and Equipment,4173.08
Expense,6900,BANKING,25522.79
Expense,6900,Uncategorized / Unknown,1614.05
Summary,NET,Net Income,-348620.95
