account_code,account_name,total_debit,total_credit,balance
1000,Cash / Clearing,656279.41,1004900.36,-348620.95
1015,Petty Cash,56477.38,0.00,56477.38
1099,BANKING,3130.56,0.00,3130.56
1099,Intercompany Receivable,500.00,0.00,500.00
1100,BANKING,91.86,0.00,91.86
1135,BANKING,700.00,0.00,700.00
1200,Fixed Assets,1.00,0.00,1.00
1203,BANKING,165.00,0.00,165.00
1220,BANKING,537.30,0.00,537.30
1220,Vehicle Equipment,138.50,0.00,138.50
1230,BANKING,288.75,0.00,288.75
2330,BANKING,3494.63,0.00,3494.63
2550,Administrative Expenses,408.07,0.00,408.07
2550,Advertising,1908.51,0.00,1908.51
2550,BANKING,14248.68,0.00,14248.68
2550,"Client Amenities - Food, Coffee, Supplies",607.48,0.00,607.48
2550,Client Entertainment - Meals,48.79,0.00,48.79
2550,Fuel,1507.20,0.00,1507.20
2550,Miscellaneous Business Expense,19.10,0.00,19.10
2550,Office Supplies,64.05,0.00,64.05
2550,Parking and Tolls,5.00,0.00,5.00
2550,Related Party - Repayments Out,5500.00,0.00,5500.00
2550,Supplies - General Business,445.08,0.00,445.08
2550,Telephone & Internet,159.00,0.00,159.00
2550,Vehicle Lease Payments,2251.73,0.00,2251.73
2550,Vehicle Maintenance & Repairs,4454.59,0.00,4454.59
2550,Vehicle Operating Leases,67.56,0.00,67.56
2550,WCB Premiums,3999.19,0.00,3999.19
2910,BANKING,202956.77,0.00,202956.77
2910,"Client Amenities - Food, Coffee, Supplies",37.16,0.00,37.16
3000,Retained Earnings,0.00,-348620.95,348620.95
3020,BANKING,94.06,0.00,94.06
3200,BANKING,36.00,0.00,36.00
41000,Charter Revenue,0.00,656279.41,-656279.41
5100,Vehicle Expenses,38.07,0.00,38.07
5110,BANKING,28039.13,0.00,28039.13
5110,Fuel,25512.57,0.00,25512.57
5110,Supplies - General Business,246.94,0.00,246.94
5116,BANKING,23792.06,0.00,23792.06
5116,"Client Amenities - Food, Coffee, Supplies",18284.96,0.00,18284.96
5116,Client Hospitality - Charter Supplies,1096.88,0.00,1096.88
5120,BANKING,6167.42,0.00,6167.42
5120,Vehicle Maintenance & Repairs,40735.04,0.00,40735.04
5130,BANKING,4370.33,0.00,4370.33
5130,Insurance,139310.44,0.00,139310.44
5130,Uncategorized / Unknown,2257.98,0.00,2257.98
5150,BANKING,20238.25,0.00,20238.25
5150,Vehicle Lease Payments,110315.77,0.00,110315.77
5150,Vehicle Operating Leases,50948.04,0.00,50948.04
5180,BANKING,1105.15,0.00,1105.15
5180,Vehicle Registration,1263.35,0.00,1263.35
5210,BANKING,6817.43,0.00,6817.43
5210,Driver Salaries,2341.11,0.00,2341.11
5210,Driver Wages & Reimbursements,2400.00,0.00,2400.00
5250,WCB Premiums,3433.64,0.00,3433.64
5260,Driver Salaries,1500.00,0.00,1500.00
5300,Administrative Expenses,5113.07,0.00,5113.07
5300,BANKING,17.87,0.00,17.87
5300,Insurance,4881.91,0.00,4881.91
5320,BANKING,2136.24,0.00,2136.24
5320,Driver Food/Drinks/Snacks on Duty,70.33,0.00,70.33
5320,Driver Meals - On Duty,44.95,0.00,44.95
5320,Staff Meals & Entertainment,45.74,0.00,45.74
5360,BANKING,1396.30,0.00,1396.30
5420,BANKING,2283.50,0.00,2283.50
5420,Office Supplies,5066.48,0.00,5066.48
5425,BANKING,216.32,0.00,216.32
5425,Building & Property Maintenance,385.26,0.00,385.26
5430,BANKING,904.54,0.00,904.54
5430,Telephone & Internet,21170.32,0.00,21170.32
5440,BANKING,2100.00,0.00,2100.00
5440,Rent & Utilities,13057.27,0.00,13057.27
5500,Professional Services,1170.75,0.00,1170.75
5510,BANKING,66.52,0.00,66.52
5520,BANKING,197.83,0.00,197.83
5540,BANKING,210.26,0.00,210.26
5540,Subscriptions & Memberships,460.00,0.00,460.00
5600,Advertising,3748.07,0.00,3748.07
5600,BANKING,277.49,0.00,277.49
5600,Marketing & Advertising,791.92,0.00,791.92
5650,BANKING,200.00,0.00,200.00
5710,BANKING,339.72,0.00,339.72
5710,Bank Fees & Service Charges,58280.20,0.00,58280.20
5710,Bank Service Charges,35.00,0.00,35.00
5710,Unassigned,9.00,0.00,9.00
5715,BANKING,1675.00,0.00,1675.00
5715,NSF Fees,1931.50,0.00,1931.50
5720,BANKING,6569.91,0.00,6569.91
5720,Charter Revenue,4626.82,0.00,4626.82
5720,Credit Card Processing Fees,979.09,0.00,979.09
5720,Payment Processing Fees,83.53,0.00,83.53
5720,Square Processing Fees,30.19,0.00,30.19
5740,BANKING,71.61,0.00,71.61
5840,BANKING,348.00,0.00,348.00
5860,BANKING,106.63,0.00,106.63
5860,Supplies - General Business,2057.83,0.00,2057.83
5870,BANKING,1199.90,0.00,1199.90
5870,Miscellaneous Business Expense,321.78,0.00,321.78
5880,BANKING,90.88,0.00,90.88
5880,Client Entertainment - Meals,67.26,0.00,67.26
5880,Owner Personal (Non-Deductible),4889.47,0.00,4889.47
5900,BANKING,362.17,0.00,362.17
6000,BANKING,414.85,0.00,414.85
6000,Operating Expenses,6500.00,0.00,6500.00
6100,BANKING,2232.84,0.00,2232.84
6100,Business Meals & Entertainment,179.75,0.00,179.75
6100,Staff Meals & Entertainment,135.53,0.00,135.53
6105,BANKING,308.61,0.00,308.61
6105,Client Entertainment - Meals,209.83,0.00,209.83
6300,BANKING,4799.99,0.00,4799.99
6300,Government Fees & Licenses,12265.53,0.00,12265.53
6400,BANKING,1897.52,0.00,1897.52
6400,Electronics and Equipment,4173.08,0.00,4173.08
6900,BANKING,25522.79,0.00,25522.79
6900,Uncategorized / Unknown,1614.05,0.00,1614.05
9999,Year-End Clearing,-348620.95,0.00,-348620.95
