Date,Description,Amount,Transaction ID,Bank ID,Vendor
2019-01-02,"Branch Transaction NON-SUFFICIENT FUNDS CHARGE",45.00,41643,None,""
2019-01-02,"Point of Sale - Visa Debit INTL VISA DEB RETAIL PURCHASE IN *LMS 900263063968 75.00 USD @ 1.400800",105.06,41647,None,""
2019-01-02,"Point of Sale - Visa Debit INTL VISA DEB RETAIL PURCHASE IN *LMS 900263063612 155.00 USD @ 1.400839",217.13,41648,None,""
2019-01-03,"Branch Transaction WITHDRAWAL 03239 GAETZ AVE & 67TH ST BANKING CE",320.00,35008,None,""
2019-01-03,"Point of Sale - Interac PURCHASE000001820144 7 ELEVEN STORE 4506*********468",15.00,35010,None,""
2019-01-04,"Point of Sale - Interac RETAIL PURCHASE 000001155710 PLENTY OF LIQUO",181.53,41627,None,""
2019-01-04,"Point of Sale - Interac RETAIL PURCHASE 000001155709 PLENTY OF LIQUO",84.58,41629,None,""
2019-01-04,"Point of Sale - Interac RETAIL PURCHASE 000001078028 PLENTY OF LIQUO",160.52,41630,None,""
2019-01-04,"Point of Sale - Interac RETAIL PURCHASE 000001001632 THE CITY OF RED",80.00,41633,None,""
2019-01-04,"Point of Sale - Interac RETAIL PURCHASE 000001771006 Fas Gas WESTPAR",63.00,41634,None,""
2019-01-04,"Point of Sale - Interac RETAIL PURCHASE 000001770030 Fas Gas WESTPAR",20.00,41636,None,""
2019-01-04,"Point of Sale - Interac RETAIL PURCHASE 000001569049 SAFEWAY #8877",6.71,41639,None,""
2019-01-04,"Internet Banking INTERNET BILL PAY 000000271081 FIRST INSURANCE FUNDING-C",3599.54,41641,None,""
2019-01-07,"Automated Banking Machine ABM WITHDRAWAL 1E0U GAETZ AVE + 67TH ST 18242 4506*********468",40.00,35005,None,""
2019-01-07,"Automated Banking Machine ABM WITHDRAWAL 0003 INTERAC/RBC SCD 09502 4506*********468",203.00,35006,None,""
2019-01-07,"Point of Sale - Interac RETAIL PURCHASE 000001819007 Fas Gas SOUTHSI",140.80,36075,None,""
2019-01-07,"Point of Sale - Interac RETAIL PURCHASE 900711246091 TIM HORTONS #27",16.09,41615,None,""
2019-01-07,"Point of Sale - Interac RETAIL PURCHASE 000001824077 7 ELEVEN STORE",15.46,41616,None,""
2019-01-07,"Point of Sale - Interac RETAIL PURCHASE 900709202738 TIM HORTONS #49",2.25,41617,None,""
2019-01-08,"Automated Banking Machine ATM WITHDRAWAL GAETZ AVE + 67TH ST 2D54",220.00,41612,None,""
2019-01-08,"Point of Sale - Interac RETAIL PURCHASE 000001354025 RUN'N ON EMPTY",67.44,41614,None,""
2019-01-09,"Point of Sale - Interac RETAIL PURCHASE 000001084031 RUN'N ON EMPTY",28.05,41603,None,""
2019-01-09,"Point of Sale - Interac RETAIL PURCHASE 900907001169 TIM HORTONS #75",4.82,41604,None,""
2019-01-09,"Point of Sale - Interac RETAIL PURCHASE 000001596022 Fas Gas PENHOLD",45.96,41605,None,""
2019-01-09,"Point of Sale - Interac RETAIL PURCHASE 900822923145 603 - LD EASTVI",12.30,41607,None,""
2019-01-10,"Internet Banking INTERNET BILL PAY 000000281106 ROGERS (9 DIGIT ACCOUNT N",80.33,41594,None,""
2019-01-10,"Internet Banking INTERNET BILL PAY 000000271773 ROGERS (9 DIGIT ACCOUNT N",600.00,41597,None,""
2019-01-11,"Point of Sale - Interac RETAIL PURCHASE 000001078131 PLENTY OF LIQUO",45.53,41587,None,""
2019-01-11,"Point of Sale - Interac RETAIL PURCHASE 000001078130 PLENTY OF LIQUO",8.49,41588,None,""
2019-01-11,"Point of Sale - Interac RETAIL PURCHASE 000001078129 PLENTY OF LIQUO",328.50,41589,None,""
2019-01-11,"Point of Sale - Interac RETAIL PURCHASE 000001064041 DAIRY QUEEN #27",1.84,41590,None,""
2019-01-11,"Point of Sale - Interac RETAIL PURCHASE 000001001563 WEST PARK MARKE",55.33,41592,None,""
2019-01-14,"Point of Sale - Interac PURCHASE000001226149 COOP TAYLOR GAS 4506*********468",15.68,35000,None,""
2019-01-14,"Point of Sale - Interac PURCHASE000001001424 WENDY'S 4506*********468",13.58,35001,None,""
2019-01-14,"Automated Banking Machine ABM WITHDRAWAL 2D54 GAETZ AVE + 67TH ST 18242 4506*********468",100.00,35002,None,""
2019-01-14,"Point of Sale - Interac PURCHASE000001271034 Fas Gas SOUTHSI 4506*********468",50.00,35003,None,""
