Payment ID,Payment Date,Account Number,Reserve Number,Payment Method,Amount,Check Number,Square Transaction ID,Notes,Client Name
30743,2007-01-05,,,cash,400.00,,,[LMS Deposit 0000257] 014817 / Credit Card,
30747,2007-01-05,,,cash,165.00,,,[LMS Deposit 0000261] 066448 / Credit Card,
30744,2007-01-06,,,cash,300.00,,,[LMS Deposit 0000258] 446762 / Credit Card,
30745,2007-01-06,,,cash,165.00,,,[LMS Deposit 0000259] 033165 / Credit Card,
30749,2007-01-07,,,cash,195.00,,,[LMS Deposit 0000263] 011534 / Credit Card,
30746,2007-01-09,,,cash,400.00,,,[LMS Deposit 0000260] 433127 / Credit Card,
30748,2007-01-10,,,cash,300.00,,,[LMS Deposit 0000262] 408754 / Credit Card,
30750,2007-01-11,,,cash,555.00,,,[LMS Deposit 0000264] 044363 / Credit Card,
30751,2007-01-12,,,cash,165.00,,,[LMS Deposit 0000265] 077662 / Credit Card,
30752,2007-01-12,,,cash,165.00,,,[LMS Deposit 0000266]  / Cash,
30754,2007-01-13,,,cash,830.00,,,[LMS Deposit 0000268] 386781 / Credit Card,
30755,2007-01-13,,,cash,272.50,,,[LMS Deposit 0000269] 025854 / Credit Card,
30756,2007-01-14,,,cash,195.00,,,[LMS Deposit 0000270]  / Cash,
31105,2007-01-15,,,cash,195.00,,,[LMS Deposit 0000621] 093785 / Credit Card,
30757,2007-01-16,,,cash,330.00,,,[LMS Deposit 0000271]  / Cash,
30758,2007-01-16,,,cash,390.00,,,[LMS Deposit 0000272]  / Cash,
30759,2007-01-19,,,cash,430.00,,,[LMS Deposit 0000273]  / Cash,
30760,2007-01-19,,,cash,590.00,,,[LMS Deposit 0000274]  / Cash,
30761,2007-01-19,,,cash,330.00,,,[LMS Deposit 0000275]  / Cash,
30762,2007-01-20,,,cash,330.00,,,[LMS Deposit 0000276] 020285 / Credit Card,
30763,2007-01-21,,,cash,195.00,,,[LMS Deposit 0000277]  / Credit Card,
30764,2007-01-25,,,cash,500.00,,,[LMS Deposit 0000278]  / Cash,
30767,2007-01-25,,,cash,584.99,,,[LMS Deposit 0000281]  / Cash,
30766,2007-01-26,,,cash,195.00,,,[LMS Deposit 0000280] 056836 / Credit Card,
30769,2007-01-27,,,cash,247.50,,,[LMS Deposit 0000283]  / Cash,
30770,2007-01-27,,,cash,650.00,,,[LMS Deposit 0000284] U20070 / Credit Card,
31213,2007-01-29,,,cash,400.00,,,[LMS Deposit 0000730]  / ,
30768,2007-01-30,,,cash,165.00,,,[LMS Deposit 0000282] 015015 / Credit Card,
30771,2007-02-01,,,cash,195.00,,,[LMS Deposit 0000285]  / Cash,
30765,2007-02-03,,,cash,585.00,,,[LMS Deposit 0000279]  / Cash,
30772,2007-02-03,,,cash,495.00,,,[LMS Deposit 0000286]  / Cash,
30773,2007-02-03,,,cash,430.00,,,[LMS Deposit 0000287] 223282 / Credit Card,
31214,2007-02-03,,,cash,500.00,,,[LMS Deposit 0000731]  / ,
30774,2007-02-05,,,cash,195.00,,,[LMS Deposit 0000288]  / Credit Card,
30775,2007-02-05,,,cash,390.00,,,[LMS Deposit 0000289] 070515 / Credit Card,
30780,2007-02-05,,,cash,650.00,,,[LMS Deposit 0000294]  / Cash,
30507,2007-02-06,,,cash,195.00,,,[LMS Deposit 0000020] 020140 / Credit Card,
30776,2007-02-08,,,cash,227.50,,,[LMS Deposit 0000290]  / ,
30532,2007-02-09,,,cash,815.00,,,[LMS Deposit 0000045] 037019 / Credit Card,
30777,2007-02-09,,,cash,65.00,,,[LMS Deposit 0000291] 005057 / Credit Card,
30781,2007-02-09,,,cash,412.50,,,[LMS Deposit 0000295] 051092 / Credit Card,
30783,2007-02-09,,,cash,65.00,,,[LMS Deposit 0000297] 035534 / Credit Card,
30778,2007-02-10,,,cash,65.00,,,[LMS Deposit 0000292] 035565 / Credit Card,
30779,2007-02-10,,,cash,495.00,,,[LMS Deposit 0000293]  / Cash,
30782,2007-02-10,,,cash,195.00,,,[LMS Deposit 0000296] 121288 / Credit Card,
30784,2007-02-10,,,cash,702.00,,,[LMS Deposit 0000298]  / Cash,
30785,2007-02-11,,,cash,65.00,,,[LMS Deposit 0000299] 005508 / Credit Card,
30786,2007-02-12,,,cash,65.00,,,[LMS Deposit 0000300] 082156 / Credit Card,
30787,2007-02-13,,,cash,65.00,,,[LMS Deposit 0000301] 016790 / Credit Card,
30788,2007-02-13,,,cash,65.00,,,[LMS Deposit 0000302] 082842 / Credit Card,
30789,2007-02-14,,,cash,65.00,,,[LMS Deposit 0000303] 977388 / Credit Card,
30790,2007-02-14,,,cash,65.00,,,[LMS Deposit 0000304] 996827 / Credit Card,
30794,2007-02-14,,,cash,695.00,,,[LMS Deposit 0000308]  / Cash,
30795,2007-02-14,,,cash,215.00,,,[LMS Deposit 0000309] 021061 / Credit Card,
30791,2007-02-15,,,cash,65.00,,,[LMS Deposit 0000305] 040302 / Credit Card,
30792,2007-02-16,,,cash,65.00,,,[LMS Deposit 0000306] 074294 / Credit Card,
30793,2007-02-16,,,cash,195.00,,,[LMS Deposit 0000307] 014647 / Credit Card,
30797,2007-02-16,,,cash,350.00,,,[LMS Deposit 0000311] 426503 / Credit Card,
30798,2007-02-16,,,cash,584.99,,,[LMS Deposit 0000312] 410212 / Credit Card,
